Poskytovateľ,Dataset,Zobrazenia,Rok
Ministerstvo vnútra SR,Ministerstvo vnútra SR,63686,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,11091,2023
Pôdohospodárska platobná agentúra,Pôdohospodárska platobná agentúra,8919,2023
Kancelária Národnej rady SR,Kancelária Národnej rady SR,6569,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,3870,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,3515,2023
Kancelária Národnej rady SR,Kancelária Národnej rady SR,2731,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,2562,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,2519,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,2494,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,2415,2023
Regionálny úrad verejného zdravotníctva Trebišov,Regionálny úrad verejného zdravotníctva Trebišov,2271,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,2265,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,2205,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,2199,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,2126,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,2010,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,1974,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,1956,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,1894,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,1892,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,1765,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",1739,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",1673,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,1661,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,1644,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",1587,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",1578,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,1474,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,1350,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,1331,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1267,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1257,2023
"Národné centrum zdravotníckych informácií, Bratislava","Národné centrum zdravotníckych informácií, Bratislava",1237,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1160,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1148,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1129,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,1109,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,1071,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,1068,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1032,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1031,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1011,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1009,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1003,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,983,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,983,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,982,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,954,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,931,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,919,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,877,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,871,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,864,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,862,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,861,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,856,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,853,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,841,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,828,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,822,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,814,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,808,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,798,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,791,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,783,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,782,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,775,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,753,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,753,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,745,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,740,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,735,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,716,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,712,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,707,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,706,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,704,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,694,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,691,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,678,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,676,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,664,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,661,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,661,2023
Pôdohospodárska platobná agentúra,Pôdohospodárska platobná agentúra,660,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,658,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,652,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,651,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,635,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,630,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,625,2023
Regionálny úrad verejného zdravotníctva Michalovce,Regionálny úrad verejného zdravotníctva Michalovce,618,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,613,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,611,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,611,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,602,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,601,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,601,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,600,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,599,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,594,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,588,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,584,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,576,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,571,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,569,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,568,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,567,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,567,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,563,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,559,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,558,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,551,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,549,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,543,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,543,2023
"Regionálny úrad verejného zdravotníctva, Rožňava","Regionálny úrad verejného zdravotníctva, Rožňava",543,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,543,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,539,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,537,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,537,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,537,2023
"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",536,2023
Ministerstvo obrany SR,Ministerstvo obrany SR,534,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,533,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,529,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,528,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,522,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,522,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,521,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,517,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,514,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,512,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,512,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,507,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,505,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,505,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,504,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,503,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,498,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,494,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,494,2023
Národné poľnohospodárske a potravinárske centrum Lužianky,Národné poľnohospodárske a potravinárske centrum Lužianky,493,2023
"Hydromeliorácie, štátny podnik","Hydromeliorácie, štátny podnik",493,2023
Ministerstvo obrany SR,Ministerstvo obrany SR,490,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,481,2023
Slovenská správa ciest,Slovenská správa ciest,479,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,478,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,477,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,474,2023
"Regionálny úrad verejného zdravotníctva, Rožňava","Regionálny úrad verejného zdravotníctva, Rožňava",472,2023
"Plemenárske služby Slovenskej republiky, štátny podnik","Plemenárske služby Slovenskej republiky, štátny podnik",470,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,469,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,466,2023
Všeobecná zdravotná poisťovňa,Všeobecná zdravotná poisťovňa,464,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,461,2023
Regionálny úrad verejného zdravotníctva Svidník,Regionálny úrad verejného zdravotníctva Svidník,455,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,454,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,450,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,448,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,446,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,441,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,441,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,438,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,437,2023
Mesto Prešov,Mesto Prešov,431,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,430,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,424,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,422,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,422,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,420,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,420,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,419,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,419,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,418,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,418,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,407,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,407,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,403,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,403,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,403,2023
Regionálny úrad verejného zdravotníctva Michalovce,Regionálny úrad verejného zdravotníctva Michalovce,401,2023
"Regionálny úrad verejného zdravotníctva, Rožňava","Regionálny úrad verejného zdravotníctva, Rožňava",395,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,392,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,386,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",385,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,383,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,381,2023
Kancelária Národnej rady SR,Kancelária Národnej rady SR,381,2023
Ministerstvo spravodlivosti SR,Ministerstvo spravodlivosti SR,381,2023
Regionálny úrad verejného zdravotníctva Bardejov,Regionálny úrad verejného zdravotníctva Bardejov,379,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,376,2023
Regionálny úrad verejného zdravotníctva Stará Ľubovňa,Regionálny úrad verejného zdravotníctva Stará Ľubovňa,371,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,370,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,369,2023
"Národné centrum zdravotníckych informácií, Bratislava","Národné centrum zdravotníckych informácií, Bratislava",367,2023
Národné lesnícke centrum,Národné lesnícke centrum,367,2023
Kancelária Národnej rady SR,Kancelária Národnej rady SR,366,2023
Ministerstvo obrany SR,Ministerstvo obrany SR,358,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,358,2023
"Hydromeliorácie, štátny podnik","Hydromeliorácie, štátny podnik",358,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,357,2023
Inštitút vzdelávania veterinárnych lekárov Košice,Inštitút vzdelávania veterinárnych lekárov Košice,353,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,353,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,352,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,348,2023
"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",348,2023
Regionálny úrad verejného zdravotníctva Bardejov,Regionálny úrad verejného zdravotníctva Bardejov,347,2023
Štatistický úrad SR,Štatistický úrad SR,343,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,341,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,336,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,334,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,326,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,323,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,322,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,322,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,318,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,316,2023
Mesto Prešov,Mesto Prešov,310,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,308,2023
Národné poľnohospodárske a potravinárske centrum Lužianky,Národné poľnohospodárske a potravinárske centrum Lužianky,307,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,307,2023
Regionálny úrad verejného zdravotníctva Martin,Regionálny úrad verejného zdravotníctva Martin,307,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,304,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,303,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,302,2023
"Úrad geodézie, kartografie a katastra SR","Úrad geodézie, kartografie a katastra SR",301,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,298,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,298,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,296,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,296,2023
Regionálny úrad verejného zdravotníctva Svidník,Regionálny úrad verejného zdravotníctva Svidník,293,2023
Národné poľnohospodárske a potravinárske centrum Lužianky,Národné poľnohospodárske a potravinárske centrum Lužianky,290,2023
Štatistický úrad SR,Štatistický úrad SR,289,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,287,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,280,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,279,2023
Regionálny úrad verejného zdravotníctva Martin,Regionálny úrad verejného zdravotníctva Martin,277,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,276,2023
Ministerstvo spravodlivosti SR,Ministerstvo spravodlivosti SR,275,2023
Regionálny úrad verejného zdravotníctva Trebišov,Regionálny úrad verejného zdravotníctva Trebišov,274,2023
Regionálny úrad verejného zdravotníctva Stará Ľubovňa,Regionálny úrad verejného zdravotníctva Stará Ľubovňa,271,2023
Regionálny úrad verejného zdravotníctva Vranov nad Topľou,Regionálny úrad verejného zdravotníctva Vranov nad Topľou,268,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,266,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,265,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,262,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,259,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,255,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,252,2023
"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",252,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,250,2023
Regionálny úrad verejného zdravotníctva Trebišov,Regionálny úrad verejného zdravotníctva Trebišov,249,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,248,2023
Regionálny úrad verejného zdravotníctva Topoľčany,Regionálny úrad verejného zdravotníctva Topoľčany,246,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,243,2023
Ministerstvo obrany SR,Ministerstvo obrany SR,243,2023
Ministerstvo zdravotníctva SR,Ministerstvo zdravotníctva SR,241,2023
Národné lesnícke centrum,Národné lesnícke centrum,241,2023
Ministerstvo financií SR,Ministerstvo financií SR,241,2023
Štatistický úrad SR,Štatistický úrad SR,239,2023
Regionálny úrad verejného zdravotníctva Martin,Regionálny úrad verejného zdravotníctva Martin,236,2023
Slovenská správa ciest,Slovenská správa ciest,235,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,235,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,231,2023
Mesto Prešov,Mesto Prešov,230,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,230,2023
"Ministerstvo práce, sociálnych vecí a rodiny SR","Ministerstvo práce, sociálnych vecí a rodiny SR",230,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,229,2023
Úrad vlády SR,Úrad vlády SR,224,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,219,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,219,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,218,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,218,2023
Štatistický úrad SR,Štatistický úrad SR,218,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,215,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,214,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,213,2023
Úrad vlády SR,Úrad vlády SR,211,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,210,2023
Regionálny úrad verejného zdravotníctva Bardejov,Regionálny úrad verejného zdravotníctva Bardejov,210,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,208,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,206,2023
Regionálny úrad verejného zdravotníctva Čadca,Regionálny úrad verejného zdravotníctva Čadca,205,2023
"Národné centrum zdravotníckych informácií, Bratislava","Národné centrum zdravotníckych informácií, Bratislava",205,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,202,2023
Regionálny úrad verejného zdravotníctva Žiar nad Hronom,Regionálny úrad verejného zdravotníctva Žiar nad Hronom,200,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,197,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,197,2023
Regionálny úrad verejného zdravotníctva Svidník,Regionálny úrad verejného zdravotníctva Svidník,197,2023
"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",194,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,191,2023
"Ministerstvo práce, sociálnych vecí a rodiny SR","Ministerstvo práce, sociálnych vecí a rodiny SR",190,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,188,2023
Regionálny úrad verejného zdravotníctva Čadca,Regionálny úrad verejného zdravotníctva Čadca,188,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,186,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,182,2023
Regionálny úrad verejného zdravotníctva Čadca,Regionálny úrad verejného zdravotníctva Čadca,181,2023
"Hydromeliorácie, štátny podnik","Hydromeliorácie, štátny podnik",181,2023
Regionálny úrad verejného zdravotníctva Vranov nad Topľou,Regionálny úrad verejného zdravotníctva Vranov nad Topľou,181,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,180,2023
Štatistický úrad SR,Štatistický úrad SR,179,2023
Regionálny úrad verejného zdravotníctva Trebišov,Regionálny úrad verejného zdravotníctva Trebišov,179,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,179,2023
Regionálny úrad verejného zdravotníctva pre územný obvod okresov Senica a Skalica,Regionálny úrad verejného zdravotníctva pre územný obvod okresov Senica a Skalica,178,2023
Ministerstvo spravodlivosti SR,Ministerstvo spravodlivosti SR,176,2023
Kancelária Národnej rady SR,Kancelária Národnej rady SR,176,2023
Štatistický úrad SR,Štatistický úrad SR,176,2023
Mesto Prešov,Mesto Prešov,175,2023
